ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL03,"Commissioner of Income Tax, Kolkata-03","Aayakar Bhawan , P-7  Chowringhee Square , Kolkata",700069.0,Pr.CIT 3,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL04,"Commissioner of Income Tax, Kolkata-04","Aayakar Bhawan  6th Floor, P-7  Chowringhee Square , Kolkata",700069.0,PR.COMMISSIONER OF INCOME TAX,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL05,"Commissioner of Income Tax, Kolkata-05","AAYAKAR BHAWAN POORVA, 110 SHANTIPALLY, Kolkata",700107.0,PR.CIT 5 KOLKATA,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL07,"Commissioner of Income Tax, Kolkata-07","Bamboo Villa  Central Revenue Building, 169  A J C Bose Road, Kolkata",700014.0,ITO TECH VII,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL08,"Commissioner of Income Tax, Kolkata-08","54/1 RAFI AHMED ROAD,  , Kolkata-700016",700014.0,PCIT,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL09,"Commissioner of Income Tax, Kolkata-09","AAYAKAR BHAWAN DAKSHIN, 2 GARIAHAT ROAD, Kolkata",700069.0,PCIT,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL10,"Commissioner of Income Tax, Kolkata-10","Aayakar Bhawan , Dakshin 2  Gariahat Road , Kolkata",700068.0,PR.CIT,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL11,"Commissioner of Income Tax, Kolkata-11","108  Middleton Row , Kolkata,  ",700071.0,PR. CIT,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL12,"Commissioner of Income Tax, Kolkata-12","Aayakar Bhawan Poorva, 110  Shanti Pally , Kolkata",700107.0,PCIT12 KOLKATA,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL13,"Commissioner of Income Tax, Kolkata-13","03  GOVT PLACE  WEST,  , Kolkata",700001.0,PCIT 13,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL14,"Commissioner of Income Tax, Kolkata-14","3  Govt.Place (West),  , Kolkata",700001.0,PCIT 14,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL15,"Commissioner of Income Tax, Kolkata-15","3  Govt. Place West , Kolkata,  ",700001.0,PCIT 15 KOLKATA,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL16,"Commissioner of Income Tax, Kolkata-16","3  Govt. Place #40West),  , Kolkata",700001.0,CIT16,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL17,"Commissioner of Income Tax, Kolkata-17","Uttarapan Building  Uttarapan Complex , Manicktata Civil Centre , Ultadanga  Kolkata",700054.0,Pr. CIT,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL18,"Commissioner of Income Tax, Kolkata-18","BAMBOO VILLA(1ST FLOOR) , 169  AJC BOSE ROAD , Kolkata",700014.0,PR. CIT 18,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL19,"Commissioner of Income Tax, Kolkata-19","BAMBOO VILLA CENTRAL REVENUE BUILDING A J C BOSE R, AOD  KOLKATA",700014.0,PR.CIT 19,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL21,"Commissioner of Income Tax, Kolkata-21","169  A.J.C. Bose Road  C.R.Building Bamboo Villa, Kolkata,  ",700014.0,Pr.CIT 21,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CALC1,"Commissioner of Income Tax (Central)-I, Kolkata","3RD FLOOR  AAYAKAR BHAWAN POORVA, 110  SHANTIPALLY, E M BYPASS  KOLKATA",700107.0,PCIT CENTRAL 1,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CALC2,CIT CENTRAL 2,"AAYAKAR BHAWAN, 110 SHANTI PALLY, KOLKATA",700107.0,CIT CENTRAL 2,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CALCO,"Commissioner of Income Tax (CO), Kolkata","Aayakar Bhawan , P-7  Chowringhee Square , Kolkata",700069.0,CIT,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CALTD,"Commissioner of Income Tax (TDS), Kolkata","10B  Middleton Row , 7th FLOOR, Kolkata",700071.0,CIT TDS KOLKATA,3.0
Central Board of Direct Taxes (Income Tax),Income Tax Deptt.,C5551,Income Tax Department,"Room No. G-15B, Ground Floor , C.R. Building  I.P. Estate ",110002.0,ACIT,5.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 7 Kol,C1071,Office of the DCIT_CIR_7_1,"Aayakar Bhawan  5th Floor P-7  Chowringhee Square ,  Kolkata",700069.0,DCIT,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 7 Kol,C1072,Office of the DCIT_CIR_7_2,"Aayakar Bhawan  5th Floor, P-7  Chowringhee Square , Kolkata",700069.0,ACIT,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 8 Kol,C1081,INCOME TAX DEPARTMENT,"5TH FLOOR AAYKAR BHAWAN, KOLKATA",700069.0,DY. COMMISSIONER OF INCOME TAX,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 8 Kol,C1082,INCOME TAX DEPARTMENT,"5TH FLOOR AYKAR BHAWAN, KOLKATA",700069.0,DY COMMISSIONER OF INCOME TAX,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 9 Kol,C1091,Office of the DCIT_Circle-9_1_Kolkata,"Aayakar Bhawan  5th Floor P-7  Chowringhee Square , Kolkata",700069.0,DCIT_Circle-9_1_Kolkata,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 9 Kol,C1092,Office of the DCIT_Circle-9_2_Kolkata,"Aayakar Bhawan  5th Floor p-7  Chowringhee Square , Kolkata",700069.0,ACIT_Circle-9_2_Kolkata,6.0
Central Board of Direct Taxes (Income Tax),CCIT 2 KOLKATA,CA007,CITAPPEAL7,"AAYAKAR BHAWAN DAKSHIN, 2  GARIAHAT ROAD, KOLKATA",700068.0,CIT APPEAL 7,
Central Board of Direct Taxes (Income Tax),CCIT 2 KOLKATA,CA011,CITAppeal11,"54/1  Rafi Ahmed Kidwai Road, Kolkata",700016.0,CIT Appeal11,
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX INDORE,CA2IN,Commissioner of Income Tax Appeal 2 INDORE,"Annex Building, Aayakar Bhawan, Indore",452001.0,CIT Appeal,3.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income tax Range 2 Alwar,BWADI,INCOME TAX OFFICER WARD BHIWADI,"PRESENT STATION - 22 MOTI DUNGRI, ALWAR,  ",301001.0,Income tax officer,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax Range Bhiwani,BWN01,CENTRAL BOARD OF DIRECT TAXES,"SCO-222  HUDA CITY CENTRE  BHIWANI,  , BHIWANI",127021.0,I.T.O,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax Range Bhiwani,BWN02,CENTRAL BOARD OF DIRECT TAXES,"SCO-222  HUDA CITY CENTRE  BHIWANI,  , BHIWANI",127021.0,I.T.O,5.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax Bilaspur,BSP01,JCIT Range 1 Bilaspur,Mahima Complex  Bilaspur,495001.0,Addl. Commissioner of Income Tax,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax Bilaspur,BSP02,JCIT Range 2 Bilaspur,"Mahima Complex, Bilaspur,  ",495001.0,Jt. Commissioner of Income Tax,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax Bilaspur,BSP03,JCIT Range Korba,Mahanadi Complex Korba,,Addl. Commissioner of Income Tax,4.0
Central Board of Direct Taxes (Income Tax),PR.COMMISSIONER OF INCOME TAX VADODARA 2 VADODARA,BRR21,Addl. CIT Range21 Vadodara,"4th Floor  Aayakar Bhavan, Race Course Circle, Vadodara",390007.0,Ad. Commissioner of Income Tax,4.0
Central Board of Direct Taxes (Income Tax),JCIT Range 1 Bilaspur,BS101,DCIT CIRCLE1 BILASPUR,"Mahima Complex  Bilaspur,  ,  ",495001.0,DY.COMMISSIONER OF INCOME TAX,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 1 Bilaspur,BS102,ITO 1.1 Bilaspur,"Mahima Complex, Bilaspur,  ",495001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 1 Bilaspur,BS103,ITO 1.2 Bilaspur,"Mahima Complex, Bilaspur,  ",495001.0,Income Tax Offficer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 1 Bilaspur,BS104,ITO 1 Raigarh,"Raigarh,  ,  ",,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 1 Bilaspur,BS105,ITO 2Raigarh,"Raigarh,  ,  ",,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 1 Bilaspur,BS106,ITO 3 Raigarh,"Raigarh,  ,  ",,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),"Commissioner of Income Tax, BHATINDA",BRNG1,RANGE 1,"AAYAKAR BHAWAN, C.R. BUILDING, BATHINDA",151001.0,JOINT COMMISSIONER OF I. TAX,4.0
Central Board of Direct Taxes (Income Tax),"Commissioner of Income Tax, BHATINDA",BRNG2,RANGE 2,"AAYAKAR BHAWAN, C.R. BUILDING, BATHINDA",151001.0,JOINT COMMISSIONER OF I. TAX,4.0
Central Board of Direct Taxes (Income Tax),RANGE BULANDSHAHAR,BSRW1,ADDL.COMMISSIONER OF INCOME TAX,"INCOME TAX OFFICE, OPP- TEACHERS COLONY, BULANDSHAHR",203001.0,ADDL. COMMISSIONER OFINCOME TA,5.0
Central Board of Direct Taxes (Income Tax),JCIT SWM,BUNDI,WARD BUNDI,"INCOME TAX OFFICE, BUNDI, BUNDI",,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,BURDW,cit burdwan,"Sharma Mansion, 74/5  G T Road  Tinkonia, Burdwan",713101.0,DCIT HQRS. Burdwan,3.0
Central Board of Direct Taxes (Income Tax),RANGE1,BPL11,WARD 1.1,"AAYAKAR BHAWAN, ANNEX BUILDING, INDORE",452001.0,ITO ACIT.OSD,5.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax INDORE I,BPL51,RANGE1,AAYAKAR BHAWAN ANNEX BUILDING INDORE,452001.0,ADDL.CIT,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax INDORE I,BPL52,RANGE 2 INDORE,AAYAKAR BHAWAN ANNEX BUILDING INDORE,452001.0,Addl. CIT,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax INDORE I,BPL53,RANGE 3 INDORE,AAYAKAR BHAWAN ANNEX BUILDING INDORE,452001.0,JOINT CIT,4.0
Central Board of Direct Taxes (Income Tax),PR COMMISSIONER OF INCOME TAX 2 BHOPAL,BPLR3,Range 3 Bhopal,"metro walk building, bittan market, e-5 arera colony bhopal",462016.0,JCIT,4.0
Central Board of Direct Taxes (Income Tax),PR COMMISSIONER OF INCOME TAX 2 BHOPAL,BPLR4,RANGE 4 BHOPAL,"METRO WALK BUILDING, BITTAN MARKET, E-5 ARERA COLONY  BHOPAL",462016.0,JCIT,4.0
Central Board of Direct Taxes (Income Tax),PR COMMISSIONER OF INCOME TAX 2 BHOPAL,BPLR5,RANGE 5 BHOPAL,"METRO WALK BUILDING BITTAN MARKET E-5  ARERA COLON, Y  BHOPAL",462016.0,JCIT,4.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BHOPAL,BPLP2,PR COMMISSIONER OF INCOME TAX 2 BHOPAL,"METROWALK BITTAN MARKET BHOPAL, METROWALK BITTAN MARKET BHOPAL, METROWALK BITTAN MARKET BHOPAL",462011.0,PR COMMISSIONER OF IT 2 BHOPA,3.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax ALWAR,BPRAW,Addl. CIT Range Bharatpur,"Aayakar Bhawan, Near Goverdhan Gate , Bharatpur",321001.0,Jt.CIT OSD,4.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range Bharatpur,BPRCB,DCIT CIRCLE BHARATPUR,"Aayaker Bhawan, Near Goverdhan Gate, Bharatpur",321001.0,JCIT,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range Bharatpur,BPRW1,INCOME TAX OFFICER WARD 1 BHARATPUR,Aayaker Bhawan Near Goverdhan Gate Bharatpur,321001.0,Income tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range Bharatpur,BPRW2,INCOME TAX OFFICER WARD 2 BHARATPUR,"Aayaker Bhawan, Near Goverdhan Gate, Bharatpur",321001.0,Income tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range Bharatpur,BPRW3,INCOME TAX OFFICER WARD 3 BHARATPUR,"Aayaker Bhawan, Near Goverdhan Gate, Bharatpur",321001.0,Income tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range Bharatpur,BPRW4,INCOME TAX OFFICER WARD 4 BHARATPUR,"Aayaker Bhawan, Near Goverdhan Gate, Bharatpur",321001.0,Income tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT ONGOLE RANGE ONGOLE,BPTW1,INCOME TAX OFFICER BAPATLA,"IT OFFICE BAPATLA, 15-8-204  Kotravari Street  Kotravari Street , Darsi Pedamasthan Nagar  Jagannadhapuram  Bapatla",522101.0,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),DIRECTOR OF INCOME TAX INV.,BPUHY,INCOME TAX,"3RD FLOOR  AAYAKAR BHAVAN  BASHEERBAGH  HYDERABAD, hyderabad",500004.0,ADDL COMMISSIONER OF INCOMETAX,5.0
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER OF INCOME TAX RANGE-2 BHOPAL,BPW24,ITOW24,"48  arera hills  aaykar bhawan  bhopal, opposite maida mill",462011.0,Income Tax officer,
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER OF INCOME TAX RANGE-2 BHOPAL,BPW25,Ward2-5Bpl,"Income tax office  Area hills hoshangabad road, Near maida mill  Bhopal, Pin 462011",462003.0,Income tax officer,
Central Board of Direct Taxes (Income Tax),JCIT Range 2 Bilaspur,BR201,Assistant Commissioner of Income Tax,"Mahima Complex  Bilaspur,  ,  ",495001.0,ACIT Circle 2 Bilaspur,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 2 Bilaspur,BR202,ITO.2.1 Bilaspur,Mahima Complex  Bilaspur,495001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 2 Bilaspur,BR203,ITO 2 2 Bilaspur,Mahima Complex  Bilaspur,495001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 2 Bilaspur,BR204,ITO 23 Bilaspur,Mahima Complex  Bilaspur,495001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 2 Bilaspur,BR205,ITO Janjgir Champa,"Janjgir Champa,  ,  ",495001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range 2 Bilaspur,BR206,ITO Manendragarh,"Manendragarh,  ,  ",,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Korba,BR301,ACIT Korba,"mahanadi Complex, Niharika Talkies Road Korba,  ",,ACIT,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Korba,BR302,ITO 1 Korba,"Mahanadi Complex, Niharika Talkies Road, Korba",495678.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Korba,BR303,ITO 2 Korba,"Mahanadi Complex , Niharika Talkies Road  Korba,  ",495678.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Korba,BR304,ITO 3 Korba,"Mahanadi Complex, Niharika Talkies Road  Korba,  ",495678.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Korba,BR305,ITO 1 Ambikapur,Ambikapur,,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Korba,BR306,ITO 2 Ambikapur,"Ambikapur,  ,  ",,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),PR. DIT INV SURAT,BRDIN,INCOME TAX DEPARTTMENT,"3RD FLOOR , AAYAKAR BHAVAN  RACE COURCE CIRCLE , VADODARA",390007.0,JOINT DIRECTOR OF INCOME TAX,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX PANAJI,BGM12,Pr. Commissioner of Income Tax Belagavi,"FEROZ KHIMJIBHAI COMMERCIAL COMPLEX, OPP CIVIL HOSPITAL  DR.AMBEDKAR RD, BELAGAVI",590001.0,PR. COMMISSIONER OF INCOME TAX,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BARODA,BDTHR,PR.COMMISSIONER OF INCOME TAX VADODARA 3 VADODARA,"2ND FLOOR  ANNEXE BUILDING, AAYAKAR BHAVAN  RACE COURSE , VADODARA",390007.0,PR.CIT VADODARA 3 VADODARA,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BARODA,BDTWO,PR.COMMISSIONER OF INCOME TAX VADODARA 2 VADODARA,"2nd  Floor  Annexe Building Aayakar Bhavan  Race C, ourse Vadodara",390007.0,Pr.CIT VADODARA 2 VADODARA,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BARODA,BDONE,PR. COMMISSIONER OF INCOME TAX VADODARA 1 VADODARA,"2nd  Floor  Annexe Building, Aayakar Bhavan  Race Course, Vadodara.",390007.0,PR. CIT VADODARA 1 VADODARA,3.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BHC11,DCIT 1.1 BHILAI,32/32. BUNGALOWS AMDI NAGAR NEAR HUDCO BHILAI,490006.0,ASSISTANT COMMISSIONER OF IT,5.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income tax,BHCIR,ACIT,"ABOVE BANK OF BARODA, STATION ROAD, BHARUCH",392001.0,DCIT,5.0
Central Board of Direct Taxes (Income Tax),Pr Commissioner of Income Tax  2,BHIR1,INCOME TAX DEPARTMENT,RANGE-1 AAYAKAR BHAWAN  NEW CIVIC CENTRE BHILAI,490006.0,JOINT COMMISSIONER,4.0
Central Board of Direct Taxes (Income Tax),Pr Commissioner of Income Tax  2,BHIR2,INCOME TAX DEPARTMENT,RANGE-2 AAYAKAR BHAWAN  NEW CIVIC CENTRE BHILAI,490006.0,JOINT COMMISSIONER,4.0
Central Board of Direct Taxes (Income Tax),Addl. CIT RangeBhilwara,BHLAC,ACIT CIRCLE BHILWARA,"Income Tax Office, Shastri Nagar , Bhilwara",311001.0,Asstt. CIT Circle,5.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax AJMER,BHLW1,ITO WARD 1 BHL,"INCOME TAX OFFICE, SHASTRI NAGAR, BHILWARA",311001.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Addl. CIT RangeBhilwara,BHLW2,ITO Ward2 BHL,"Income Tax Office, Shastri Nagar, Bhilwara",311001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT RangeBhilwara,BHLW3,ITO Ward 3 Bhilwara,"Income Tax Office , Shastri Nagar , Bhilwara",311001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT RangeBhilwara,BHLW4,ITO WARD 4 BHILWARA,"Income Tax Office , Shastri Nagar, Bhilwara",311001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT RangeBhilwara,BHLW5,ITO WARD 5 BHILWARA,"Income Tax Office , Shastri Nagar , Bhilwara",311001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Income Tax Department,BHMPR,Berhampur Range Incometax Department,"AAYAKAR BHAWAN  Berhampur, Ambapua,  ",760010.0,Addl Commissioer of Incometax,4.0
Central Board of Direct Taxes (Income Tax),PR.COMMISSIONER OF INCOME TAX VADODARA 3 VADODARA,BHONE,Addl. Commissioner of Income tax,"Income-tax Office  Harikunj Building  Station Road,   Bharuch.",392001.0,JOINT CIT Range 1 Bharuch,4.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),BHOPA,CHIEF COMMISSIONER OF INCOME TAX BHOPAL,"PRINCIPAL CHIEF COMMISSIONER OF INCOME TAX  BHOPAL,  AAYAKAR BHAWAN  HOSHANGABAD ROAD BHOPAL-462 011",462011.0,Pr. CCIT,2.0
Central Board of Direct Taxes (Income Tax),PR.COMMISSIONER OF INCOME TAX VADODARA 3 VADODARA,BHTWO,Addl. Commissioner of Income tax,"Income tax Office Harikunj Building  Station Road ,  Bharuch.",392001.0,Joint CIT Range 2 Bharuch,4.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),BHUBA,"Pr. Chief Commissioner of Income Tax, Bhubaneswar","AAYKAR BHAWAN, RAJASW VIHAR , BHUBANESWAR",751007.0,Pr. CCIT,2.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income tax,BHWR1,ITO,"ABOVE BANK OF BARODA, STATION ROAD, BHARUCH",,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income tax,BHWR2,ITO,"ABOVE BANK OF BARODA, STATION ROAD, BHARUCH",392001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income tax,BHWR3,ITO,"ABOVE BANK OF BARODA, STATION ROAD, BHARUCH",392001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income tax,BHWR4,ITO,"ABOVE BANK OF BAORDA, STATION ROAD, BHARUCH",392001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income tax,BHWR5,ITO,"ABOVE BANK OF BARODA, STATION ROAD, BHARUCH",392001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIC21,DCIT 2.1 BHILAI,"INCOME TAX OFFICE  32/32 BUNGALOW, Amdi nagar  Hudco, Bhilai",490006.0,ASTT. COMMISSIONER INCOME TAX,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIW11,ITO 1.1 BHILAI,"AAYAKAR BHAWAN, CIVIC CENTRE, BHILAI",490006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIW12,ITO 1.2 BHILAI,AAYAKAR BHAWAN CIVIC CENTRE BHILAI,490006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIW13,ITO 1.3 BHILAI,"AAYAKAR BHAWAN, CIVIC CENTRE, BHILAI",490006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIW14,ITO 1.4 BHILAI,"AAYAKAR BHAWAN, CIVIC CENTRE, BHILAI",490006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIW15,ITO 1.5,"AAYAKAR BHAWAN, CIVIC CENTRE, BHILAI",490006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIW21,INCOME TAX OFFICER WARD 2.1,"AAYKAR BHAWAN  NEW CIVIC CENTRE BHILAI RANGE 2  BH, ILAI  DURG Chhatishgarh",490006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BIW22,INCOME TAX OFFICER,"AAYKAR BHAWAN NEW CIVIC CENTRE, BHILAI RANGE-2  BHILAI,  ",490006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Investigation wing Bhopal,BJDIT,Joint Director of Income tax - Investigation,"Joint Director of Income tax- Inv Bhopal, Aayakar Bhawan  near maida mill, arera hills Hoshangabad Road Bhopal",462011.0,Joint Director of Income tax,5.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax Ahmedabad IV,BKRNG,INCOME TAX OFFICE,"1st FLOOR, SHRI. HARI COMPLEX  ABU HIGHWAY, PALANPUR.",385001.0,JOINT CIT,4.0
Central Board of Direct Taxes (Income Tax),Range 3 Srinagar,BLA35,Income Tax Office 35,"Income Tax Office  Ward Baramulla, Baramulla",193101.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),INCOME TAX DEPARTMENT,BLSRN,Balasore Range Income Tax Department,"Station Square  IB road,  , Balasore",756003.0,Jt. Commissioner of Income Tax,4.0
